Row ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,08-11-2016,11-11-2016,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0,41.9136
2,08-11-2016,11-11-2016,Second Class,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0,219.582
3,12-06-2016,16-06-2016,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0,6.8714
4,11-10-2015,18-10-2015,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031
5,11-10-2015,18-10-2015,Standard Class,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164
6,09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0,14.1694
7,09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0,1.9656
8,09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152
9,09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825
10,09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0,34.47
11,09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092
12,09-06-2014,14-06-2014,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568
13,15-04-2017,20-04-2017,Standard Class,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432
14,05-12-2016,10-12-2016,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922
15,22-11-2015,26-11-2015,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858
16,22-11-2015,26-11-2015,Standard Class,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.816
17,11-11-2014,18-11-2014,Standard Class,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0,13.3176
18,13-05-2014,15-05-2014,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0,9.99
19,27-08-2014,01-09-2014,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0,2.4824
20,27-08-2014,01-09-2014,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011
21,27-08-2014,01-09-2014,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.384
22,09-12-2016,13-12-2016,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0,5.0596
23,09-12-2016,13-12-2016,Standard Class,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0,15.6884
24,16-07-2017,18-07-2017,Second Class,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196
25,25-09-2015,30-09-2015,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0,240.2649
26,16-01-2016,20-01-2016,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224
27,16-01-2016,20-01-2016,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0,11.7741
28,17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522
29,17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532
30,17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525
31,17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016
32,17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092
33,17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715
34,17-09-2015,21-09-2015,Standard Class,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.546
35,19-10-2017,23-10-2017,Second Class,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper,29.472,3,0.2,9.9468
36,08-12-2016,10-12-2016,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones,1097.544,7,0.2,123.4737
37,08-12-2016,10-12-2016,First Class,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963
38,27-12-2015,31-12-2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415
39,27-12-2015,31-12-2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764
40,27-12-2015,31-12-2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,212.058,3,0.3,-15.147
41,27-12-2015,31-12-2015,Standard Class,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,371.168,4,0.2,41.7564
42,10-09-2017,15-09-2017,Standard Class,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,147.168,4,0.2,16.5564
43,17-07-2016,22-07-2016,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,77.88,2,0,3.894
44,19-09-2017,23-09-2017,Standard Class,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,95.616,2,0.2,9.5616
45,11-03-2016,13-03-2016,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,45.98,2,0,19.7714
46,11-03-2016,13-03-2016,First Class,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,17.46,2,0,8.2062
47,20-10-2014,25-10-2014,Second Class,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0,8.4784
48,20-06-2016,25-06-2016,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,45,3,0,4.95
49,20-06-2016,25-06-2016,Standard Class,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,21.8,2,0,6.104
50,18-04-2015,22-04-2015,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,38.22,6,0,17.9634
51,18-04-2015,22-04-2015,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,75.18,6,0,35.3346
52,18-04-2015,22-04-2015,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,6.16,2,0,2.9568
53,18-04-2015,22-04-2015,Standard Class,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,89.99,1,0,17.0981
54,11-12-2016,17-12-2016,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,15.26,7,0,6.2566
55,11-12-2016,17-12-2016,Standard Class,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Technology,Phones,1029.95,5,0,298.6855
56,17-06-2016,18-06-2016,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,208.56,6,0,52.14
57,17-06-2016,18-06-2016,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,32.4,5,0,15.552
58,17-06-2016,18-06-2016,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,319.41,5,0.1,7.098
59,17-06-2016,18-06-2016,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,14.56,2,0,6.9888
60,17-06-2016,18-06-2016,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,30,2,0,3.3
61,17-06-2016,18-06-2016,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,48.48,4,0.2,16.362
62,17-06-2016,18-06-2016,First Class,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,1.68,1,0,0.84
63,24-11-2015,30-11-2015,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,13.98,2,0,6.1512
64,24-11-2015,30-11-2015,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,25.824,6,0.2,9.3612
65,24-11-2015,30-11-2015,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,146.73,3,0,68.9631
66,24-11-2015,30-11-2015,Standard Class,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,79.76,4,0,22.3328
67,30-04-2015,05-05-2015,Standard Class,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,213.115,5,0.3,-15.2225
68,05-12-2014,10-12-2014,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,1113.024,8,0.2,111.3024
69,05-12-2014,10-12-2014,Standard Class,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,167.968,4,0.2,62.988
70,04-06-2016,06-06-2016,First Class,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,75.88,2,0,35.6636
71,18-09-2016,23-09-2016,Standard Class,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,4.616,1,0.2,1.731
72,14-09-2017,17-09-2017,Second Class,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,19.05,3,0,8.763
73,26-04-2015,02-05-2015,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,831.936,8,0.2,-114.3912
74,26-04-2015,02-05-2015,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,97.04,2,0.2,1.213
75,26-04-2015,02-05-2015,Standard Class,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,72.784,1,0.2,-18.196
76,09-12-2017,11-12-2017,First Class,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344
77,09-12-2017,11-12-2017,First Class,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248
78,09-12-2017,11-12-2017,First Class,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,27.24,3,0.2,2.724
79,26-11-2014,01-12-2014,Second Class,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,19.3,5,0.6,-14.475
80,12-06-2016,15-06-2016,First Class,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,208.16,1,0,56.2032
81,12-06-2016,15-06-2016,First Class,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,16.74,3,0,8.0352
82,12-10-2014,16-10-2014,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,14.9,5,0,4.172
83,12-10-2014,16-10-2014,Standard Class,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,21.39,1,0,6.2031
84,03-09-2015,08-09-2015,Standard Class,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075
85,13-11-2017,16-11-2017,First Class,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549
86,28-05-2017,30-05-2017,Second Class,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,301.96,2,0,33.2156
87,26-10-2017,02-11-2017,Standard Class,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,19.99,1,0,6.7966
88,26-10-2017,02-11-2017,Standard Class,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,6.16,2,0,2.9568
89,05-04-2016,10-04-2016,Second Class,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,158.368,7,0.2,13.8572
90,17-09-2016,22-09-2016,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,20.1,3,0,6.633
91,17-09-2016,22-09-2016,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,73.584,2,0.2,8.2782
92,17-09-2016,22-09-2016,Standard Class,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,6.48,1,0,3.1104
93,31-01-2015,05-02-2015,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,12.96,2,0,6.2208
94,31-01-2015,05-02-2015,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,53.34,3,0,16.5354
95,31-01-2015,05-02-2015,Second Class,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,32.96,2,0,16.1504
96,06-11-2017,12-11-2017,Standard Class,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,5.682,1,0.7,-3.788
97,09-11-2017,11-11-2017,Second Class,Parhena Norris,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,96.53,7,0,40.5426
98,17-06-2017,20-06-2017,First Class,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,51.312,3,0.2,17.9592
99,06-09-2016,11-09-2016,Standard Class,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,77.88,6,0,22.5852
100,29-08-2016,02-09-2016,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184
101,29-08-2016,02-09-2016,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,95.976,3,0.2,-10.7973
102,29-08-2016,02-09-2016,Standard Class,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396
103,01-12-2016,04-12-2016,Second Class,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,23.92,4,0,11.7208
104,13-11-2015,17-11-2015,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,238.896,6,0.2,-26.8758
105,13-11-2015,17-11-2015,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,102.36,3,0.2,-3.8385
106,13-11-2015,17-11-2015,Standard Class,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,36.882,3,0.7,-25.8174
107,23-11-2017,28-11-2017,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,74.112,8,0.2,17.6016
108,23-11-2017,28-11-2017,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,27.992,1,0.2,2.0994
109,23-11-2017,28-11-2017,Standard Class,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,3.304,1,0.2,1.0738
110,15-10-2015,20-10-2015,Standard Class,Pete Armstrong,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,339.96,5,0.2,67.992
111,25-12-2017,30-12-2017,Standard Class,Cynthia Voltz,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,41.96,2,0,10.9096
112,03-11-2016,10-11-2016,Standard Class,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0,22.788
113,03-11-2016,10-11-2016,Standard Class,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,27.24,6,0,13.3476
114,25-08-2014,27-08-2014,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348
115,25-08-2014,27-08-2014,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.72,2,0.2,1.652
116,25-08-2014,27-08-2014,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,23.976,3,0.2,7.4925
117,25-08-2014,27-08-2014,Second Class,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316
118,02-03-2015,06-03-2015,Standard Class,Dave Kipp,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,787.53,3,0,165.3813
119,05-04-2015,10-04-2015,Standard Class,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,157.794,1,0.7,-115.7156
120,12-06-2016,15-06-2016,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,47.04,3,0,18.3456
121,12-06-2016,15-06-2016,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,30.84,4,0,13.878
122,12-06-2016,15-06-2016,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,226.56,6,0,63.4368
123,12-06-2016,15-06-2016,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,115.02,9,0,51.759
124,12-06-2016,15-06-2016,First Class,Steven Cartwright,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,68.04,7,0,19.7316
125,26-12-2014,28-12-2014,Second Class,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,600.558,3,0.3,-8.5794
126,20-09-2014,25-09-2014,Standard Class,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682
127,05-11-2017,12-11-2017,Standard Class,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.388,2,0.7,-1.8308
128,05-11-2017,12-11-2017,Standard Class,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,243.992,7,0.2,30.499
129,06-11-2016,10-11-2016,Second Class,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,81.424,2,0.2,-9.1602
130,06-11-2016,10-11-2016,Second Class,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,238.56,3,0,26.2416
131,02-02-2017,05-02-2017,First Class,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,59.97,5,0.4,-11.994
132,02-02-2017,05-02-2017,First Class,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,78.304,2,0.2,29.364
133,02-02-2017,05-02-2017,First Class,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732
134,13-10-2016,19-10-2016,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,20.04,3,0,9.6192
135,13-10-2016,19-10-2016,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,35.44,1,0,16.6568
136,13-10-2016,19-10-2016,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,11.52,4,0,3.456
137,13-10-2016,19-10-2016,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,4.02,2,0,1.9698
138,13-10-2016,19-10-2016,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,76.176,3,0.2,26.6616
139,13-10-2016,19-10-2016,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,65.88,6,0,18.4464
140,13-10-2016,19-10-2016,Standard Class,Lena Creighton,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,43.12,14,0,20.6976
141,05-09-2016,07-09-2016,Second Class,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,82.8,2,0.2,10.35
142,18-09-2017,23-09-2017,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,8.82,3,0,2.3814
143,18-09-2017,23-09-2017,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,10.86,3,0,5.1042
144,18-09-2017,23-09-2017,Standard Class,Sally Hughsby,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,143.7,3,0,68.976
145,22-12-2017,27-12-2017,Standard Class,Sandra Glassco,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,839.43,3,0,218.2518
146,07-09-2015,12-09-2015,Standard Class,Helen Andreada,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,671.93,7,0,20.1579
147,22-10-2014,28-10-2014,Standard Class,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,93.888,4,0.2,12.9096
148,05-12-2016,09-12-2016,Standard Class,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,384.45,11,0,103.8015
149,05-12-2016,09-12-2016,Standard Class,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,149.97,3,0,5.9988
150,05-12-2016,09-12-2016,Standard Class,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,1951.84,8,0,585.552
151,05-12-2016,09-12-2016,Standard Class,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,171.55,5,0,80.6285
152,13-03-2016,16-03-2016,First Class,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,157.92,5,0.2,17.766
153,13-03-2016,16-03-2016,First Class,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,203.184,2,0.2,15.2388
154,31-05-2015,02-06-2015,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,58.38,7,0,26.271
155,31-05-2015,02-06-2015,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,105.52,4,0,48.5392
156,31-05-2015,02-06-2015,First Class,Stephanie Phelps,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,80.88,6,0,21.0288
157,28-05-2015,03-06-2015,Standard Class,Neil Knudson,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0,1.7901
